"vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","IQR"
1,35,16.858,5.41659150475756,15.06,16.0920689655172,3.454458,11.5,30.85,19.35,1.29887502106577,0.495680087996427,0.915571071274438,4.895
2,35,59644828.4857143,23114031.0057448,66321122,61449581.2068966,14758823.394,7260000,98215920,90955920,-0.850514713638166,-0.295141397301123,3906984.32968641,19642464.5
3,35,6911807.48571429,5568131.13817413,4838031,6069836.06896552,2861619.6336,1166531,24245973,23079442,1.46013304387875,1.39307901181752,941185.94446284,4723243.5
4,35,42182451.6571429,23776545.4804199,43680604,40662492.3793103,23789740.296,10072343,89334980,79262637,0.500110936011626,-0.748875613492506,4018969.71510458,33710183.5
5,35,4507783.08571429,4608213.827976,3352986,3829658.06896552,3837330.5544,0,19095889,19095889,1.25065781178095,1.14698026578926,778930.30468254,6786210
